nohup: ignoring input
[W 23:05:23.676 NotebookApp] WARNING: The notebook server is listening on all IP addresses and not using encryption. This is not recommended.
[I 23:05:23.689 NotebookApp] Serving notebooks from local directory: /zqh/pyproject
[W 23:12:30.148 NotebookApp] zmq message arrived on closed channel
[W 23:12:30.154 NotebookApp] zmq message arrived on closed channel
[W 23:12:38.409 NotebookApp] zmq message arrived on closed channel
[W 23:12:38.411 NotebookApp] zmq message arrived on closed channel
[W 23:12:38.839 NotebookApp] zmq message arrived on closed channel
[W 23:12:38.843 NotebookApp] zmq message arrived on closed channel
[W 23:12:39.873 NotebookApp] zmq message arrived on closed channel
[W 23:12:39.876 NotebookApp] zmq message arrived on closed channel
[W 23:12:40.408 NotebookApp] zmq message arrived on closed channel
[W 23:12:40.542 NotebookApp] zmq message arrived on closed channel
[W 23:12:40.545 NotebookApp] zmq message arrived on closed channel
[W 23:12:43.792 NotebookApp] zmq message arrived on closed channel
[W 23:12:43.795 NotebookApp] zmq message arrived on closed channel
[W 23:12:44.080 NotebookApp] zmq message arrived on closed channel
[W 23:12:44.084 NotebookApp] zmq message arrived on closed channel
[W 23:12:52.682 NotebookApp] zmq message arrived on closed channel
[W 23:12:52.685 NotebookApp] zmq message arrived on closed channel
[W 23:12:53.294 NotebookApp] zmq message arrived on closed channel
[W 23:12:53.299 NotebookApp] zmq message arrived on closed channel
[W 23:12:54.883 NotebookApp] zmq message arrived on closed channel
[W 23:12:54.886 NotebookApp] zmq message arrived on closed channel
[W 23:12:55.581 NotebookApp] zmq message arrived on closed channel
[W 23:12:55.859 NotebookApp] zmq message arrived on closed channel
[W 23:12:55.863 NotebookApp] zmq message arrived on closed channel
[W 23:12:58.336 NotebookApp] zmq message arrived on closed channel
[W 23:12:58.338 NotebookApp] zmq message arrived on closed channel
[W 23:12:58.739 NotebookApp] zmq message arrived on closed channel
[W 23:12:58.753 NotebookApp] zmq message arrived on closed channel
[W 23:12:58.756 NotebookApp] zmq message arrived on closed channel
[W 23:13:18.079 NotebookApp] zmq message arrived on closed channel
[W 23:13:18.081 NotebookApp] zmq message arrived on closed channel
[W 23:13:18.557 NotebookApp] zmq message arrived on closed channel
[W 23:13:18.563 NotebookApp] zmq message arrived on closed channel
[W 23:13:19.586 NotebookApp] zmq message arrived on closed channel
[W 23:13:19.587 NotebookApp] zmq message arrived on closed channel
[W 23:13:20.151 NotebookApp] zmq message arrived on closed channel
[W 23:13:20.317 NotebookApp] zmq message arrived on closed channel
[W 23:13:20.320 NotebookApp] zmq message arrived on closed channel
[W 23:13:22.167 NotebookApp] zmq message arrived on closed channel
[W 23:13:22.169 NotebookApp] zmq message arrived on closed channel
[W 23:13:22.483 NotebookApp] zmq message arrived on closed channel
[W 23:13:22.486 NotebookApp] zmq message arrived on closed channel
[W 23:13:31.003 NotebookApp] zmq message arrived on closed channel
[W 23:13:31.005 NotebookApp] zmq message arrived on closed channel
[W 23:13:31.455 NotebookApp] zmq message arrived on closed channel
[W 23:13:31.459 NotebookApp] zmq message arrived on closed channel
[W 23:13:32.332 NotebookApp] zmq message arrived on closed channel
[W 23:13:32.334 NotebookApp] zmq message arrived on closed channel
[W 23:13:32.886 NotebookApp] zmq message arrived on closed channel
[W 23:13:33.041 NotebookApp] zmq message arrived on closed channel
[W 23:13:33.044 NotebookApp] zmq message arrived on closed channel
[W 23:13:39.060 NotebookApp] zmq message arrived on closed channel
[W 23:13:39.062 NotebookApp] zmq message arrived on closed channel
[W 23:13:39.523 NotebookApp] zmq message arrived on closed channel
[W 23:13:39.527 NotebookApp] zmq message arrived on closed channel
[W 23:13:40.275 NotebookApp] zmq message arrived on closed channel
[W 23:13:40.277 NotebookApp] zmq message arrived on closed channel
[W 23:13:40.802 NotebookApp] zmq message arrived on closed channel
[W 23:13:40.928 NotebookApp] zmq message arrived on closed channel
[W 23:13:40.931 NotebookApp] zmq message arrived on closed channel
[W 23:13:42.393 NotebookApp] zmq message arrived on closed channel
[W 23:13:42.396 NotebookApp] zmq message arrived on closed channel
[W 23:13:42.692 NotebookApp] zmq message arrived on closed channel
[W 23:13:42.696 NotebookApp] zmq message arrived on closed channel
[W 23:13:55.750 NotebookApp] zmq message arrived on closed channel
[W 23:13:55.752 NotebookApp] zmq message arrived on closed channel
[W 23:13:56.167 NotebookApp] zmq message arrived on closed channel
[W 23:13:56.172 NotebookApp] zmq message arrived on closed channel
[W 23:13:57.225 NotebookApp] zmq message arrived on closed channel
[W 23:13:57.228 NotebookApp] zmq message arrived on closed channel
[W 23:13:57.755 NotebookApp] zmq message arrived on closed channel
[W 23:13:57.884 NotebookApp] zmq message arrived on closed channel
[W 23:13:57.887 NotebookApp] zmq message arrived on closed channel
[W 23:13:58.906 NotebookApp] zmq message arrived on closed channel
[W 23:13:58.908 NotebookApp] zmq message arrived on closed channel
[W 23:13:59.195 NotebookApp] zmq message arrived on closed channel
[W 23:13:59.198 NotebookApp] zmq message arrived on closed channel
[I 23:14:03.601 NotebookApp] Saving file at /stock_pro/duo_kong_svm_30.ipynb
[W 23:14:10.389 NotebookApp] zmq message arrived on closed channel
[W 23:14:10.391 NotebookApp] zmq message arrived on closed channel
[W 23:14:10.810 NotebookApp] zmq message arrived on closed channel
[W 23:14:10.814 NotebookApp] zmq message arrived on closed channel
[W 23:14:11.714 NotebookApp] zmq message arrived on closed channel
[W 23:14:11.716 NotebookApp] zmq message arrived on closed channel
[W 23:14:12.236 NotebookApp] zmq message arrived on closed channel
[W 23:14:12.358 NotebookApp] zmq message arrived on closed channel
[W 23:14:12.361 NotebookApp] zmq message arrived on closed channel
[W 23:14:13.463 NotebookApp] zmq message arrived on closed channel
[W 23:14:13.466 NotebookApp] zmq message arrived on closed channel
[W 23:14:13.873 NotebookApp] zmq message arrived on closed channel
[W 23:14:13.880 NotebookApp] zmq message arrived on closed channel
[W 23:14:13.885 NotebookApp] zmq message arrived on closed channel
[W 23:14:24.936 NotebookApp] zmq message arrived on closed channel
[W 23:14:24.938 NotebookApp] zmq message arrived on closed channel
[W 23:14:25.363 NotebookApp] zmq message arrived on closed channel
[W 23:14:25.369 NotebookApp] zmq message arrived on closed channel
[W 23:14:26.524 NotebookApp] zmq message arrived on closed channel
[W 23:14:26.527 NotebookApp] zmq message arrived on closed channel
[W 23:14:27.050 NotebookApp] zmq message arrived on closed channel
[W 23:14:27.172 NotebookApp] zmq message arrived on closed channel
[W 23:14:27.175 NotebookApp] zmq message arrived on closed channel
[W 23:14:29.496 NotebookApp] zmq message arrived on closed channel
[W 23:14:29.498 NotebookApp] zmq message arrived on closed channel
[W 23:14:29.783 NotebookApp] zmq message arrived on closed channel
[W 23:14:29.787 NotebookApp] zmq message arrived on closed channel
[I 23:14:45.108 NotebookApp] Saving file at /stock_pro/duo_kong_svm_30.ipynb
[I 23:14:46.140 NotebookApp] Saving file at /stock_pro/duo_kong_svm_30.ipynb
[I 23:14:47.144 NotebookApp] Starting buffering for 23c24990-b185-4612-9638-f34da49e67ac:5c0fc51707274b9683c31887980b4d22
[I 08:32:33.993 NotebookApp] 302 GET / (106.15.52.246) 0.83ms
